Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg, Exchange
Acadia Healthcare, ACHC, 33.76, 34.1, 33.42, 33.95, 0.4, 1.19, 811542, 54.34, 26.92, 0.0, 0.0, 17.23, 4.05, NASDAQ Global
Forescout Technologies, FSCT, 33.86, 35.0, 33.0, 33.98, 0.4, 1.19, 129067, 35.0, 21.56, 0.0, 0.0, 0.0, 6.55, NASDAQ Global
Fulgent Genetics, FLGT, 4.95, 5.3, 4.94, 5.11, 0.06, 1.19, 40503, 13.35, 2.73, 0.0, 0.0, 0.0, 16.67, NASDAQ Global
Iridium Communications, IRDM, 12.7, 12.8, 12.55, 12.75, 0.15, 1.19, 529229, 12.9, 7.8, 0.0, 0.0, 13.86, 8.05, NASDAQ Global
Otter Tail, OTTR, 42.15, 42.8, 42.1, 42.6, 0.5, 1.19, 55337, 48.65, 35.65, 1.28, 3.0, 23.63, -4.16, NASDAQ Global
Quality Systems, QSII, 13.51, 13.69, 13.25, 13.59, 0.16, 1.19, 550817, 17.74, 12.61, 0.0, 0.0, 31.6, 0.07, NASDAQ Global
Restoration Robotics, HAIR, 4.19, 4.39, 4.17, 4.26, 0.05, 1.19, 17646, 11.95, 3.8, 0.0, 0.0, 0.0, -7.39, NASDAQ Global
Cogint, COGT, 4.25, 4.35, 4.25, 4.3, 0.05, 1.18, 220373, 6.95, 3.15, 0.0, 0.0, 0.0, -2.27, NASDAQ Global
Computer Programs&Systems, CPSI, 29.65, 30.31, 29.6, 30.0, 0.35, 1.18, 90518, 36.15, 21.6, 0.4, 1.33, 66.67, -0.17, NASDAQ Global
U.S. Lime&Minerals, USLM, 76.12, 76.9, 75.18, 76.9, 0.9, 1.18, 9760, 101.4, 71.61, 0.54, 0.7, 22.1, -0.26, NASDAQ Global
Versartis, VSAR, 2.15, 2.2, 2.1, 2.15, 0.02, 1.18, 538093, 24.0, 1.6, 0.0, 0.0, 0.0, -2.27, NASDAQ Global
Windstream Holdings, WIN, 1.7, 1.75, 1.69, 1.71, 0.02, 1.18, 848578, 8.29, 1.63, 0.0, 0.0, 0.0, -7.57, NASDAQ Global
Conagra Brands, CAG, 37.66, 38.11, 37.65, 38.04, 0.44, 1.17, 2931332, 41.68, 32.16, 0.85, 2.23, 22.63, 0.98, NYSE
