Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange,Date,Time
Eyegate Pharmaceuticals, EYEG,0.68,0.68,0.65,0.66,-0.02,-2.94,224032,3.9,0.49,0,0,0,-38.32, NASDAQ Capital,2/15/2018,11:40:00
Reed's, REED,1.7,1.7,1.6,1.65,-0.05,-2.94,27556,4.75,1.3,0,0,0,6.45, NYSE American,2/15/2018,11:40:00
Aerie Pharmaceuticals, AERI,53.65,55.1,52.25,52.55,-1.6,-2.95,301970,66.6,38.14,0,0,0,-12.05, NASDAQ Global,2/15/2018,11:40:00
American Assets Trust, AAT,32.17,32.51,30.93,32,-0.98,-2.97,459539,44.83,30.93,1.08,3.38,51.61,-16.32, NYSE,2/15/2018,11:40:00
Stanley Furniture, STLY,0.69,0.7,0.65,0.65,-0.02,-2.99,28813,1.39,0.55,0,0,0,-25.29, NASDAQ Global,2/15/2018,11:40:00
GEE Group, JOB,2.67,2.76,2.6,2.6,-0.08,-2.99,6804,7,2.45,0,0,0,-6.47, NYSE American,2/15/2018,11:40:00
BioScrip, BIOS,2.94,3,2.88,2.89,-0.09,-3.02,782916,3.39,1.35,0,0,0,-0.69, NASDAQ Global,2/15/2018,11:40:00
Vicon Industries, VII,0.38,0.39,0.35,0.35,-0.01,-3.02,148635,0.99,0.26,0,0,0,-12.5, NYSE American,2/15/2018,11:40:00
Sonic Foundry, SOFO,2.5,2.69,2.48,2.56,-0.08,-3.03,2277,5.35,2.05,0,0,0,-14.95, NASDAQ Capital,2/15/2018,11:40:00
Sky Solar Holdings ADR, SKYS,0.93,0.94,0.89,0.89,-0.03,-3.05,90680,2.43,0.86,0,0,0,-40.67, NASDAQ Capital,2/15/2018,11:40:00
Alico, ALCO,27.6,27.6,26.3,26.8,-0.85,-3.07,3550,34.8,25.5,0.24,0.9,266.93,-9.15, NASDAQ Global,2/15/2018,11:40:00
Celadon Group, CGI,4.85,4.9,4.6,4.7,-0.15,-3.09,589657,9.25,1.3,0.08,1.7,0,-26.56, NYSE,2/15/2018,11:40:00
CHF Solutions, CHFS,3.21,3.23,3,3.11,-0.1,-3.12,130554,103,2.87,0,0,0,-10.12, NASDAQ Capital,2/15/2018,11:40:00
Leap Therapeutics, LPTX,6.3,6.69,6.2,6.47,-0.21,-3.14,58946,9.44,4.9,0,0,0,3.69, NASDAQ Global,2/15/2018,11:40:00
Escalade, ESCA,12.5,12.7,12.3,12.3,-0.4,-3.15,15065,14.38,11.3,0.46,3.74,17.32,0, NASDAQ Global,2/15/2018,11:40:00
Second Sight Medical Products WT, EYESW,0.63,0.63,0.63,0.63,-0.02,-3.15,500,1.05,0.26,0,0,0,-25.06, NASDAQ Capital,2/15/2018,11:40:00
Preferred Apartment Communities, APTS,14.45,14.61,14.03,14.05,-0.46,-3.17,575952,22.71,12.42,1,7.12,0,-30.62, NYSE,2/15/2018,11:40:00
Sienna Biopharmaceuticals, SNNA,14.78,14.79,13.98,14.31,-0.47,-3.18,38887,29.25,13.37,0,0,0,-21.16, NASDAQ Global,2/15/2018,11:40:00
Nevada Gold&Casinos, UWN,2.44,2.55,2.36,2.43,-0.08,-3.19,38129,2.86,1.87,0,0,30.38,-8.99, NYSE American,2/15/2018,11:40:00
Vertex Energy, VTNR,0.93,0.96,0.91,0.91,-0.03,-3.2,34308,1.55,0.65,0,0,0,-4.21, NASDAQ Capital,2/15/2018,11:40:00
Dermira, DERM,28.19,29.18,27.49,27.7,-0.92,-3.21,728915,38.75,21.35,0,0,0,-0.4, NASDAQ Global,2/15/2018,11:40:00
Electro-Sensors, ELSE,3.91,3.91,3.9,3.91,-0.13,-3.22,1612,5.24,2.96,0,0,31.16,-3.46, NASDAQ Capital,2/15/2018,11:40:00
Tintri, TNTR,5.54,5.68,5.26,5.39,-0.18,-3.23,68565,7.75,2.78,0,0,0,5.69, NASDAQ Global,2/15/2018,11:40:00
Intellicheck, IDN,2.49,2.54,2.4,2.4,-0.08,-3.23,19857,4.55,1.8,0,0,0,-6.25, NYSE American,2/15/2018,11:40:00
Allied Motion Technologies, AMOT,31.75,31.75,29.59,30.97,-1.04,-3.25,88293,36.2,19.09,0.1,0.32,35.19,-6.41, NASDAQ Global,2/15/2018,11:40:00
Natuzzi ADR, NTZ,1.49,1.55,1.49,1.49,-0.05,-3.25,2310,3.3,1.41,0,0,0,-6.88, NYSE,2/15/2018,11:40:00
Ophthotech, OPHT,2.76,2.79,2.66,2.67,-0.09,-3.26,257943,4.81,2.24,0,0,1.7,-14.42, NASDAQ Global,2/15/2018,11:40:00
Advantage Oil&Gas, AAV,3,3,2.85,2.9,-0.1,-3.33,307782,7.35,2.75,0,0,11.2,-32.56, NYSE,2/15/2018,11:40:00
Aileron Therapeutics, ALRN,8.18,8.34,7.69,8.02,-0.28,-3.37,5295,15.48,7.38,0,0,0,-23.91, NASDAQ Global,2/15/2018,11:40:00
Sogou ADR, SOGO,9.65,9.74,9.32,9.45,-0.33,-3.37,2304148,14.7,8.08,0,0,45.22,-18.32, NYSE,2/15/2018,11:40:00
Vascular Biogenics, VBLT,6.65,6.95,6.4,6.42,-0.23,-3.38,216476,9.05,3.9,0,0,0,-9.51, NASDAQ Global,2/15/2018,11:40:00
Applied DNA Sciences, APDN,1.41,1.44,1.4,1.43,-0.05,-3.38,44967,3.45,0.9,0,0,0,-10.06, NASDAQ Capital,2/15/2018,11:40:00
Forum Merger Rt, FMCIR,0.78,0.78,0.75,0.78,-0.03,-3.4,545600,0.88,0.24,0,0,0,18.56, NASDAQ Capital,2/15/2018,11:40:00
ConforMIS, CFMS,1.44,1.47,1.4,1.41,-0.05,-3.42,378708,8.61,1.15,0,0,0,-40.76, NASDAQ Global,2/15/2018,11:40:00
Aralez Pharmaceuticals, ARLZ,1.74,1.77,1.69,1.69,-0.06,-3.43,402461,4.65,0.95,0,0,0,19.01, NASDAQ Global,2/15/2018,11:40:00
Arsanis, ASNS,12.61,13.42,12.34,12.34,-0.44,-3.43,2557,19.73,10.4,0,0,0,-3.28, NASDAQ Global,2/15/2018,11:40:00
CSS Industries, CSS,19.74,20.12,19.04,19.13,-0.68,-3.43,58559,30.29,19.04,0.8,4.18,0,-31.26, NYSE,2/15/2018,11:40:00
Cherokee, CHKE,1.45,1.55,1.4,1.4,-0.05,-3.45,35311,10.7,1.35,0.2,14.29,0,-26.32, NASDAQ Global,2/15/2018,11:40:00
Avis Budget Group, CAR,37.74,39.13,36.9,38.73,-1.39,-3.46,5493100,49.41,20.71,0,0,28.55,-11.74, NASDAQ Global,2/15/2018,11:40:00
Industrea Acquisition WT, INDUW,0.58,0.6,0.52,0.55,-0.02,-3.47,74557,0.94,0.36,0,0,0,30.67, NASDAQ Capital,2/15/2018,11:40:00
Globalstar, GSAT,0.92,0.94,0.9,0.91,-0.03,-3.47,1935558,2.59,0.86,0,0,0,-30.74, NYSE American,2/15/2018,11:40:00
InflaRx, IFRX,29.61,30.3,27.88,28.75,-1.05,-3.52,76012,32.61,14.47,0,0,0,37.23, NASDAQ Global,2/15/2018,11:40:00
FinTech Acquisition II WT, FNTEW,1.25,1.25,1.2,1.21,-0.04,-3.52,2200,1.95,0.54,0,0,0,-12.61, NASDAQ Capital,2/15/2018,11:40:00
China Auto Logistics, CALI,3.3,3.52,3.27,3.27,-0.12,-3.54,10964,4.69,1.3,0,0,0,2.19, NASDAQ Capital,2/15/2018,11:40:00
Bridgeline Digital, BLIN,2.35,2.4,2.25,2.31,-0.09,-3.55,19248,5.1,1.86,0,0,0,-4.86, NASDAQ Capital,2/15/2018,11:40:00
OrthoPediatrics, KIDS,17.08,18,16.52,16.65,-0.62,-3.59,10828,23,15.86,0,0,0,-13.24, NASDAQ Global,2/15/2018,11:40:00
LongFin Cl A, LFIN,42.38,44.48,40.68,40.68,-1.53,-3.62,231164,142.82,4.69,0,0,0,-27.74, NASDAQ Capital,2/15/2018,11:40:00
Cardiovascular Systems, CSII,21.47,22,20.58,21.05,-0.8,-3.66,675432,33.11,20.58,0,0,0,-11.14, NASDAQ Global,2/15/2018,11:40:00
Avalon Holdings, AWX,2.14,2.25,2.1,2.1,-0.08,-3.67,2579,3.37,1.83,0,0,0,5, NYSE American,2/15/2018,11:40:00
Strongbridge Biopharma, SBBP,6.7,6.9,6.45,6.55,-0.25,-3.68,153773,9.03,2.35,0,0,0,-9.66, NASDAQ Global,2/15/2018,11:40:00
Rocket Pharmaceuticals, RCKT,17.58,18.5,16.94,17.19,-0.66,-3.7,252627,19.78,3.4,0,0,0,64.66, NASDAQ Global,2/15/2018,11:40:00
CafePress, PRSS,1.6,1.6,1.51,1.54,-0.06,-3.75,9259,3.5,1.36,0,0,0,-16.55, NASDAQ Global,2/15/2018,11:40:00
Sapiens International, SPNS,9.75,9.75,9.24,9.44,-0.37,-3.77,117939,15.46,9.24,0.2,2.12,472,-18.06, NASDAQ Capital,2/15/2018,11:40:00
