Name,Symbol,Open,High,Low,Close,NetChg,PcntChg,Volume,High52Wk,Low52Wk,Div,Yield,PERatio,YTDPcntChg,Exchange
Syndax Pharmaceuticals, SNDX, 11.22, 11.85, 10.61, 10.9, -0.32, -2.85, 415507, 15.7, 7.41, 0.0, 0.0, 0.0, 24.43, NASDAQ Global
Movado Group, MOV, 31.5, 31.55, 30.5, 30.6, -0.9, -2.86, 65896, 33.95, 20.5, 0.52, 1.7, 29.71, -4.97, NYSE
Tenneco, TEN, 60.11, 60.38, 58.0, 58.01, -1.71, -2.86, 421822, 70.96, 51.54, 1.0, 1.72, 17.37, -0.91, NYSE
Vertex Energy, VTNR, 1.05, 1.1, 1.02, 1.02, -0.03, -2.86, 70222, 1.6, 0.65, 0.0, 0.0, 0.0, 7.37, NASDAQ Capital
Kona Grill, KONA, 1.75, 1.75, 1.66, 1.7, -0.05, -2.86, 31760, 9.5, 1.5, 0.0, 0.0, 0.0, -2.86, NASDAQ Global
Genius Brands International, GNUS, 2.85, 2.85, 2.6, 2.71, -0.08, -2.87, 60055, 6.06, 2.01, 0.0, 0.0, 0.0, -0.37, NASDAQ Capital
Comstock Resources, CRK, 10.0, 10.12, 9.74, 9.74, -0.29, -2.89, 481899, 12.75, 4.01, 0.0, 0.0, 0.0, 15.13, NYSE
Quad/Graphics, QUAD, 22.87, 23.04, 22.09, 22.12, -0.66, -2.9, 167403, 29.04, 18.16, 1.2, 5.42, 12.79, -2.12, NYSE
Polaris Industries, PII, 116.95, 117.08, 112.37, 113.01, -3.39, -2.91, 1732294, 137.66, 77.91, 2.32, 2.05, 42.01, -8.86, NYSE
Cyclacel Pharmaceuticals, CYCC, 1.7, 1.71, 1.63, 1.67, -0.05, -2.91, 263417, 10.9, 1.5, 0.0, 0.0, 0.0, -4.02, NASDAQ Capital
ChemoCentryx, CCXI, 9.65, 9.73, 9.26, 9.35, -0.28, -2.91, 141764, 10.79, 5.42, 0.0, 0.0, 0.0, 57.14, NASDAQ Global
Mistras Group, MG, 22.05, 22.16, 21.23, 21.31, -0.64, -2.92, 98488, 23.83, 17.0, 0.0, 0.0, 41.71, -9.2, NYSE
Titan International, TWI, 13.77, 13.96, 13.29, 13.31, -0.4, -2.92, 276243, 14.31, 7.97, 0.02, 0.15, 0.0, 3.34, NYSE
Universal Display, OLED, 165.15, 166.9, 157.5, 159.4, -4.8, -2.92, 1546780, 209.0, 63.1, 0.12, 0.08, 78.14, -7.67, NASDAQ Global
FGL Holdings, FG, 9.21, 9.28, 8.65, 8.96, -0.27, -2.93, 1030526, 12.25, 8.65, 0.0, 0.0, 0.0, -11.02, NYSE
KB Home, KBH, 33.01, 33.18, 31.4, 31.52, -0.95, -2.93, 3082688, 38.8, 15.88, 0.1, 0.32, 17.22, -1.35, NYSE
